OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,BsmtQual,TotalBsmtSF,1stFlrSF,KitchenQual,FullBath,SalePrice
7.0,1710.0,2.0,2,548.0,2,856.0,856.0,2,2.0,208500.0
6.0,1262.0,2.0,3,460.0,2,1262.0,1262.0,3,2.0,181500.0
7.0,1786.0,2.0,2,608.0,2,920.0,920.0,2,2.0,223500.0
7.0,1717.0,3.0,3,642.0,3,756.0,961.0,2,1.0,140000.0
8.0,2198.0,3.0,2,836.0,2,1145.0,1145.0,2,2.0,250000.0
5.0,1362.0,2.0,3,480.0,2,796.0,796.0,3,1.0,143000.0
8.0,1694.0,2.0,2,636.0,0,1686.0,1694.0,2,2.0,307000.0
7.0,2090.0,2.0,3,484.0,2,1107.0,1107.0,3,2.0,200000.0
7.0,1774.0,2.0,3,468.0,3,952.0,1022.0,3,2.0,129900.0
5.0,1077.0,1.0,3,205.0,3,991.0,1077.0,3,1.0,118000.0
5.0,1040.0,1.0,3,384.0,3,1040.0,1040.0,3,1.0,129500.0
9.0,2324.0,3.0,0,736.0,0,1175.0,1182.0,0,3.0,345000.0
5.0,912.0,1.0,3,352.0,3,912.0,912.0,3,1.0,144000.0
7.0,1494.0,3.0,2,840.0,2,1494.0,1494.0,2,2.0,279500.0
6.0,1253.0,1.0,3,352.0,3,1253.0,1253.0,3,1.0,157000.0
7.0,854.0,2.0,3,576.0,3,832.0,854.0,3,1.0,132000.0
6.0,1004.0,2.0,3,480.0,3,1004.0,1004.0,3,1.0,149000.0
4.0,1296.0,2.0,3,516.0,3,0.0,1296.0,3,2.0,90000.0
5.0,1114.0,2.0,3,576.0,3,1114.0,1114.0,2,1.0,159000.0
5.0,1339.0,1.0,3,294.0,3,1029.0,1339.0,3,1.0,139000.0
8.0,2376.0,3.0,2,853.0,0,1158.0,1158.0,2,3.0,325300.0
7.0,1108.0,1.0,3,280.0,3,637.0,1108.0,2,1.0,139400.0
8.0,1795.0,2.0,2,534.0,2,1777.0,1795.0,2,2.0,230000.0
5.0,1060.0,2.0,3,572.0,2,1040.0,1060.0,3,1.0,129900.0
5.0,1060.0,1.0,3,270.0,3,1060.0,1060.0,2,1.0,154000.0
8.0,1600.0,3.0,2,890.0,2,1566.0,1600.0,2,2.0,256300.0
5.0,900.0,2.0,3,576.0,3,900.0,900.0,2,1.0,134800.0
8.0,1704.0,3.0,2,772.0,0,1704.0,1704.0,2,2.0,306000.0
5.0,1600.0,1.0,3,319.0,3,1484.0,1600.0,3,1.0,207500.0
4.0,520.0,1.0,3,240.0,3,520.0,520.0,1,1.0,68500.0
4.0,1317.0,1.0,3,250.0,3,649.0,649.0,3,1.0,40000.0
5.0,1228.0,1.0,3,271.0,3,1228.0,1228.0,2,1.0,149350.0
8.0,1234.0,2.0,2,484.0,0,1234.0,1234.0,2,2.0,179900.0
5.0,1700.0,2.0,3,447.0,3,1398.0,1700.0,2,1.0,165500.0
9.0,1561.0,2.0,0,556.0,0,1561.0,1561.0,0,2.0,277500.0
8.0,2452.0,3.0,2,691.0,0,1117.0,1132.0,2,3.0,309000.0
5.0,1097.0,2.0,3,672.0,2,1097.0,1097.0,3,1.0,145000.0
5.0,1297.0,2.0,3,498.0,3,1297.0,1297.0,3,1.0,153000.0
5.0,1057.0,1.0,3,246.0,3,1057.0,1057.0,2,1.0,109000.0
4.0,1152.0,0.0,3,0.0,3,0.0,1152.0,1,2.0,82000.0
6.0,1324.0,2.0,3,440.0,3,1088.0,1324.0,3,2.0,160000.0
5.0,1328.0,1.0,3,308.0,3,1350.0,1328.0,3,1.0,170000.0
5.0,884.0,2.0,3,504.0,2,840.0,884.0,2,1.0,144000.0
5.0,938.0,1.0,3,308.0,2,938.0,938.0,3,1.0,130250.0
5.0,1150.0,1.0,3,300.0,3,1150.0,1150.0,3,1.0,141000.0
9.0,1752.0,2.0,0,576.0,0,1752.0,1752.0,0,2.0,319900.0
7.0,2149.0,2.0,2,670.0,0,1434.0,1518.0,2,1.0,239686.0
8.0,1656.0,3.0,2,826.0,2,1656.0,1656.0,2,2.0,249700.0
4.0,1452.0,0.0,3,0.0,3,736.0,736.0,3,2.0,113000.0
5.0,955.0,1.0,3,386.0,3,955.0,955.0,3,1.0,127000.0
6.0,1470.0,2.0,3,388.0,2,794.0,794.0,3,2.0,177000.0
6.0,1176.0,2.0,3,528.0,3,816.0,816.0,3,1.0,114500.0
5.0,816.0,2.0,1,516.0,2,816.0,816.0,3,1.0,110000.0
9.0,1842.0,3.0,2,894.0,0,1842.0,1842.0,2,0.0,385000.0
5.0,1360.0,2.0,3,572.0,3,384.0,1360.0,3,1.0,130000.0
6.0,1425.0,2.0,3,576.0,3,1425.0,1425.0,3,2.0,180500.0
8.0,1739.0,2.0,2,480.0,2,970.0,983.0,2,2.0,172500.0
7.0,1720.0,2.0,2,565.0,2,860.0,860.0,2,2.0,196500.0
10.0,2945.0,3.0,0,641.0,0,1410.0,1426.0,2,3.0,438780.0
5.0,780.0,1.0,3,352.0,3,780.0,780.0,3,1.0,124900.0
6.0,1158.0,2.0,3,576.0,2,1158.0,1158.0,2,1.0,158000.0
5.0,1111.0,1.0,3,288.0,3,530.0,581.0,1,1.0,101000.0
8.0,1370.0,2.0,2,484.0,2,1370.0,1370.0,2,2.0,202500.0
7.0,1710.0,2.0,3,480.0,3,576.0,902.0,3,2.0,140000.0
7.0,2034.0,2.0,3,645.0,2,1057.0,1057.0,2,2.0,219500.0
8.0,2473.0,3.0,2,852.0,0,1143.0,1143.0,2,2.0,317000.0
7.0,2207.0,2.0,3,576.0,2,1947.0,2207.0,3,2.0,180000.0
7.0,1479.0,2.0,2,558.0,2,1453.0,1479.0,2,2.0,226000.0
4.0,747.0,1.0,3,220.0,3,747.0,747.0,3,1.0,80000.0
7.0,2287.0,2.0,2,667.0,3,1304.0,1304.0,3,2.0,225000.0
7.0,2223.0,2.0,3,516.0,2,2223.0,2223.0,3,2.0,244000.0
4.0,845.0,2.0,3,360.0,3,845.0,845.0,3,1.0,129500.0
7.0,1718.0,2.0,3,427.0,2,832.0,885.0,3,2.0,185000.0
5.0,1086.0,2.0,3,490.0,3,1086.0,1086.0,3,1.0,144900.0
3.0,1605.0,1.0,2,379.0,1,840.0,840.0,3,2.0,107400.0
4.0,988.0,1.0,3,297.0,2,462.0,526.0,3,1.0,91000.0
4.0,952.0,1.0,3,283.0,3,952.0,952.0,3,1.0,135750.0
5.0,1285.0,1.0,3,240.0,3,672.0,1072.0,3,1.0,127000.0
4.0,1768.0,0.0,3,0.0,3,1768.0,1768.0,3,2.0,136500.0
5.0,1230.0,2.0,3,440.0,3,440.0,682.0,3,1.0,110000.0
6.0,2142.0,1.0,3,509.0,2,896.0,1182.0,2,2.0,193500.0
6.0,1337.0,2.0,3,405.0,0,1237.0,1337.0,3,2.0,153500.0
8.0,1563.0,3.0,3,758.0,2,1563.0,1563.0,2,2.0,245000.0
5.0,1065.0,2.0,3,461.0,3,1065.0,1065.0,3,1.0,126500.0
7.0,1474.0,2.0,3,400.0,2,384.0,804.0,3,2.0,168500.0
8.0,2417.0,2.0,2,462.0,2,1288.0,1301.0,2,2.0,260000.0
6.0,1560.0,2.0,2,400.0,2,684.0,684.0,2,2.0,174000.0
6.0,1224.0,2.0,2,528.0,2,612.0,612.0,2,2.0,164500.0
3.0,1526.0,0.0,1,0.0,3,1013.0,1013.0,1,1.0,85000.0
4.0,990.0,0.0,3,0.0,2,990.0,990.0,3,1.0,123600.0
4.0,1040.0,2.0,3,420.0,3,0.0,1040.0,3,1.0,109900.0
5.0,1235.0,2.0,3,480.0,3,1235.0,1235.0,3,1.0,98600.0
5.0,964.0,2.0,3,432.0,2,876.0,964.0,3,1.0,163500.0
6.0,2291.0,2.0,3,506.0,3,1214.0,1260.0,3,2.0,133900.0
6.0,1786.0,2.0,3,684.0,2,824.0,905.0,2,2.0,204750.0
6.0,1470.0,2.0,0,420.0,2,680.0,680.0,3,2.0,185000.0
7.0,1588.0,2.0,2,472.0,2,1588.0,1588.0,2,2.0,214000.0
4.0,960.0,1.0,3,432.0,3,960.0,960.0,3,1.0,94750.0
5.0,835.0,1.0,3,366.0,3,458.0,835.0,3,1.0,83000.0
4.0,1225.0,0.0,3,0.0,3,950.0,1225.0,3,1.0,128950.0
6.0,1610.0,2.0,3,480.0,3,1610.0,1610.0,2,2.0,205000.0
6.0,1732.0,2.0,2,476.0,2,741.0,977.0,2,2.0,178000.0
5.0,1535.0,2.0,3,410.0,3,0.0,1535.0,3,2.0,118964.0
7.0,1226.0,3.0,3,740.0,2,1226.0,1226.0,2,2.0,198900.0
7.0,1818.0,1.0,3,240.0,3,1040.0,1226.0,3,1.0,169500.0
8.0,1992.0,2.0,2,648.0,0,1053.0,1053.0,2,2.0,250000.0
4.0,1047.0,1.0,3,273.0,1,641.0,1047.0,3,1.0,100000.0
5.0,789.0,1.0,3,250.0,3,789.0,789.0,3,1.0,115000.0
5.0,1517.0,0.0,3,0.0,3,793.0,997.0,1,2.0,115000.0
6.0,1844.0,2.0,3,546.0,2,1844.0,1844.0,3,2.0,190000.0
6.0,1855.0,1.0,3,325.0,3,994.0,1216.0,3,2.0,136900.0
7.0,1430.0,2.0,3,400.0,2,384.0,774.0,3,2.0,180000.0
7.0,2696.0,3.0,2,792.0,0,1264.0,1282.0,0,2.0,383970.0
6.0,2259.0,2.0,3,450.0,2,1809.0,2259.0,2,2.0,217000.0
6.0,2320.0,1.0,3,180.0,3,1028.0,1436.0,2,2.0,259500.0
6.0,1458.0,2.0,3,440.0,2,729.0,729.0,3,2.0,176000.0
5.0,1092.0,1.0,3,288.0,3,1092.0,1092.0,3,1.0,139000.0
5.0,1125.0,2.0,3,430.0,2,1125.0,1125.0,3,1.0,155000.0
7.0,3222.0,3.0,3,594.0,2,1673.0,1699.0,2,3.0,320000.0
6.0,1456.0,2.0,2,390.0,2,728.0,728.0,2,2.0,163990.0
6.0,988.0,2.0,3,540.0,3,938.0,988.0,3,1.0,180000.0
4.0,1123.0,1.0,3,264.0,3,732.0,772.0,3,1.0,100000.0
6.0,1080.0,1.0,3,288.0,3,1080.0,1080.0,3,1.0,136000.0
6.0,1199.0,2.0,2,530.0,2,1199.0,1199.0,2,2.0,153900.0
6.0,1586.0,2.0,3,435.0,2,1362.0,1586.0,3,2.0,181000.0
6.0,754.0,0.0,3,0.0,3,520.0,520.0,3,1.0,84500.0
6.0,958.0,2.0,3,440.0,2,1078.0,958.0,3,2.0,128000.0
5.0,840.0,0.0,3,0.0,3,672.0,840.0,3,1.0,87000.0
6.0,1348.0,2.0,3,453.0,3,660.0,660.0,3,1.0,155000.0
5.0,1053.0,2.0,3,750.0,3,1008.0,1053.0,0,1.0,150000.0
7.0,2157.0,2.0,3,487.0,3,924.0,1216.0,2,2.0,226000.0
6.0,2054.0,2.0,2,390.0,2,992.0,1022.0,2,2.0,244000.0
5.0,1327.0,2.0,3,624.0,3,1063.0,1327.0,2,1.0,150750.0
8.0,1296.0,2.0,2,471.0,0,1267.0,1296.0,2,2.0,220000.0
5.0,1721.0,2.0,3,440.0,3,1461.0,1721.0,3,2.0,180000.0
7.0,1682.0,2.0,3,530.0,3,1304.0,1682.0,3,2.0,174000.0
5.0,1214.0,1.0,3,318.0,3,1214.0,1214.0,3,2.0,143000.0
7.0,1959.0,3.0,3,766.0,3,1907.0,1959.0,3,3.0,171000.0
8.0,1852.0,3.0,2,660.0,2,1004.0,1004.0,2,2.0,230000.0
6.0,1764.0,2.0,3,470.0,2,928.0,928.0,2,2.0,231500.0
4.0,864.0,0.0,3,0.0,3,864.0,864.0,3,1.0,115000.0
7.0,1734.0,2.0,2,660.0,2,1734.0,1734.0,2,2.0,260000.0
5.0,1385.0,2.0,3,720.0,3,910.0,910.0,3,2.0,166000.0
7.0,1501.0,2.0,2,577.0,2,1490.0,1501.0,2,2.0,204000.0
5.0,1728.0,2.0,3,504.0,3,1728.0,1728.0,3,2.0,125000.0
6.0,1709.0,2.0,2,380.0,2,970.0,970.0,2,2.0,130000.0
5.0,875.0,1.0,3,180.0,3,715.0,875.0,3,1.0,105000.0
7.0,2035.0,2.0,2,434.0,2,884.0,884.0,2,2.0,222500.0
7.0,1080.0,0.0,3,0.0,2,1080.0,1080.0,2,1.0,141000.0
5.0,1344.0,1.0,3,240.0,2,896.0,896.0,3,1.0,115000.0
5.0,969.0,2.0,3,440.0,3,969.0,969.0,3,1.0,122000.0
8.0,1710.0,3.0,2,866.0,0,1710.0,1710.0,2,2.0,372402.0
6.0,1993.0,2.0,3,495.0,3,825.0,1097.0,3,2.0,190000.0
6.0,1252.0,2.0,3,564.0,2,1602.0,1252.0,3,1.0,235000.0
6.0,1200.0,1.0,3,312.0,3,1200.0,1200.0,3,1.0,125000.0
6.0,1096.0,0.0,3,0.0,3,572.0,572.0,3,1.0,79000.0
5.0,1040.0,2.0,3,625.0,3,0.0,1040.0,3,1.0,109500.0
8.0,1968.0,3.0,2,680.0,0,774.0,774.0,0,2.0,269500.0
7.0,1947.0,2.0,2,678.0,2,991.0,991.0,2,2.0,254900.0
7.0,2462.0,2.0,2,576.0,2,1392.0,1392.0,2,2.0,320000.0
6.0,1232.0,2.0,3,516.0,2,1232.0,1232.0,3,2.0,162500.0
9.0,2668.0,3.0,2,726.0,0,1572.0,1572.0,0,2.0,412500.0
7.0,1541.0,2.0,2,532.0,2,1541.0,1541.0,2,2.0,220000.0
4.0,882.0,0.0,3,0.0,3,882.0,882.0,3,1.0,103200.0
6.0,1616.0,1.0,3,216.0,3,1149.0,1149.0,2,2.0,152000.0
5.0,1355.0,0.0,3,0.0,3,644.0,808.0,3,2.0,127500.0
5.0,1867.0,1.0,2,303.0,3,1617.0,1867.0,3,1.0,190000.0
8.0,2161.0,3.0,2,789.0,0,1582.0,1610.0,0,1.0,325624.0
7.0,1720.0,2.0,2,440.0,2,840.0,840.0,2,2.0,183500.0
8.0,1707.0,2.0,2,511.0,2,1686.0,1707.0,3,2.0,228000.0
5.0,1382.0,2.0,3,660.0,3,720.0,854.0,3,1.0,128500.0
6.0,1656.0,2.0,3,528.0,3,1080.0,1656.0,3,1.0,215000.0
7.0,1767.0,2.0,2,504.0,2,1064.0,1064.0,2,2.0,239000.0
6.0,1362.0,2.0,3,504.0,3,1362.0,1362.0,3,1.0,163000.0
6.0,1651.0,2.0,3,616.0,2,1606.0,1651.0,3,2.0,184000.0
6.0,2158.0,2.0,3,576.0,3,1202.0,2158.0,2,2.0,243000.0
6.0,2060.0,2.0,2,521.0,2,1151.0,1164.0,3,2.0,211000.0
5.0,1920.0,2.0,2,451.0,3,1052.0,1252.0,2,2.0,172500.0
9.0,2234.0,3.0,0,1166.0,0,2216.0,2234.0,0,2.0,501837.0
5.0,968.0,2.0,2,480.0,3,968.0,968.0,3,1.0,100000.0
6.0,1525.0,2.0,2,440.0,2,756.0,769.0,2,2.0,177000.0
7.0,1802.0,1.0,3,216.0,1,793.0,901.0,3,1.0,200100.0
5.0,1340.0,1.0,3,252.0,3,0.0,1340.0,3,1.0,120000.0
7.0,2082.0,2.0,3,484.0,2,1362.0,1362.0,2,2.0,200000.0
5.0,1252.0,2.0,3,576.0,1,504.0,936.0,3,1.0,127000.0
10.0,3608.0,3.0,2,840.0,3,1107.0,1518.0,0,2.0,475000.0
7.0,1217.0,2.0,3,497.0,2,1188.0,1217.0,2,2.0,173000.0
5.0,1656.0,1.0,3,180.0,1,660.0,808.0,3,2.0,135000.0
5.0,1224.0,2.0,3,528.0,2,1086.0,1224.0,3,0.0,153337.0
8.0,1593.0,2.0,2,682.0,0,1593.0,1593.0,0,1.0,286000.0
8.0,2727.0,2.0,2,440.0,2,853.0,1549.0,2,2.0,315000.0
7.0,1479.0,2.0,3,484.0,3,725.0,725.0,2,1.0,184000.0
7.0,1431.0,2.0,2,666.0,2,1431.0,1431.0,2,2.0,192000.0
7.0,1709.0,2.0,2,380.0,2,970.0,970.0,2,2.0,130000.0
5.0,864.0,1.0,3,352.0,3,864.0,864.0,3,1.0,127000.0
6.0,1456.0,2.0,3,440.0,2,855.0,855.0,3,2.0,148500.0
7.0,1726.0,3.0,0,786.0,0,1726.0,1726.0,0,2.0,311872.0
8.0,3112.0,2.0,2,795.0,3,1360.0,1360.0,2,2.0,235000.0
6.0,2229.0,0.0,3,0.0,3,755.0,929.0,3,1.0,104000.0
8.0,1713.0,3.0,2,856.0,0,1713.0,1713.0,0,2.0,274900.0
4.0,1121.0,2.0,3,440.0,2,1121.0,1121.0,3,2.0,140000.0
6.0,1279.0,2.0,3,473.0,3,1196.0,1279.0,3,2.0,171500.0
6.0,1310.0,1.0,3,398.0,1,617.0,865.0,3,2.0,112000.0
6.0,848.0,2.0,2,420.0,2,848.0,848.0,2,1.0,149000.0
5.0,1284.0,1.0,3,240.0,3,720.0,720.0,3,1.0,110000.0
7.0,1442.0,2.0,3,500.0,2,1424.0,1442.0,3,2.0,180500.0
5.0,1696.0,1.0,3,349.0,3,1140.0,1696.0,3,1.0,143900.0
4.0,1100.0,1.0,3,312.0,3,1100.0,1100.0,3,1.0,141000.0
7.0,2062.0,2.0,2,454.0,2,1157.0,1180.0,3,2.0,277000.0
6.0,1092.0,2.0,3,504.0,2,1092.0,1092.0,3,1.0,145000.0
5.0,864.0,0.0,3,0.0,3,864.0,864.0,3,1.0,98000.0
6.0,1212.0,2.0,3,460.0,2,1212.0,1212.0,2,2.0,186000.0
7.0,1852.0,2.0,3,644.0,2,900.0,932.0,2,2.0,252678.0
5.0,990.0,2.0,3,576.0,2,990.0,990.0,3,1.0,156000.0
6.0,1392.0,1.0,3,299.0,2,689.0,689.0,3,1.0,161750.0
5.0,1236.0,1.0,3,447.0,3,1070.0,1236.0,2,1.0,134450.0
7.0,1436.0,2.0,2,484.0,2,1436.0,1436.0,2,2.0,210000.0
4.0,1328.0,1.0,3,210.0,3,686.0,810.0,3,1.0,107000.0
7.0,1954.0,2.0,2,431.0,3,798.0,1137.0,2,1.0,311500.0
7.0,1248.0,2.0,2,438.0,2,1248.0,1248.0,2,2.0,167240.0
7.0,1498.0,2.0,2,675.0,2,1498.0,1498.0,2,2.0,204900.0
6.0,2267.0,2.0,2,390.0,2,1010.0,1010.0,2,2.0,200000.0
6.0,1552.0,2.0,3,434.0,2,713.0,811.0,3,2.0,179900.0
4.0,864.0,2.0,3,576.0,3,864.0,864.0,3,1.0,97000.0
10.0,2392.0,3.0,0,968.0,0,2392.0,2392.0,0,2.0,386250.0
5.0,1302.0,1.0,3,280.0,3,630.0,630.0,3,2.0,112000.0
7.0,2520.0,3.0,2,721.0,2,1203.0,1214.0,2,2.0,290000.0
6.0,987.0,1.0,3,280.0,3,483.0,483.0,3,1.0,106000.0
5.0,912.0,1.0,3,336.0,3,912.0,912.0,3,1.0,125000.0
7.0,1555.0,2.0,2,430.0,2,1373.0,1555.0,2,2.0,192500.0
6.0,1194.0,1.0,3,312.0,3,1194.0,1194.0,3,1.0,148000.0
8.0,2794.0,3.0,2,810.0,2,1462.0,1490.0,0,2.0,403000.0
6.0,987.0,1.0,3,288.0,3,483.0,483.0,3,1.0,94500.0
5.0,894.0,1.0,3,308.0,3,894.0,894.0,3,1.0,128200.0
6.0,1960.0,2.0,2,440.0,2,860.0,860.0,2,2.0,216500.0
6.0,987.0,1.0,3,264.0,3,483.0,483.0,3,1.0,89500.0
7.0,1414.0,2.0,2,494.0,2,1414.0,1414.0,2,2.0,185500.0
7.0,1744.0,2.0,2,457.0,2,996.0,1014.0,2,2.0,194500.0
8.0,1694.0,3.0,0,818.0,0,1694.0,1694.0,2,2.0,318000.0
6.0,1487.0,1.0,3,220.0,3,735.0,798.0,3,1.0,113000.0
8.0,1566.0,2.0,2,750.0,2,1566.0,1566.0,2,2.0,262500.0
5.0,866.0,0.0,3,0.0,3,686.0,866.0,2,1.0,110500.0
5.0,1440.0,1.0,3,352.0,3,540.0,889.0,3,1.0,79000.0
6.0,1217.0,1.0,3,288.0,2,626.0,626.0,3,1.0,120000.0
7.0,2110.0,2.0,2,463.0,2,948.0,1222.0,2,2.0,205000.0
7.0,1872.0,2.0,3,604.0,2,1845.0,1872.0,3,2.0,241500.0
6.0,1928.0,1.0,3,440.0,1,1020.0,908.0,1,2.0,137000.0
6.0,1375.0,2.0,3,451.0,3,1367.0,1375.0,3,1.0,140000.0
7.0,1668.0,2.0,2,500.0,2,840.0,840.0,2,2.0,180000.0
6.0,2144.0,2.0,2,389.0,2,1444.0,1444.0,2,2.0,277000.0
3.0,1306.0,0.0,3,0.0,3,728.0,1306.0,1,1.0,76500.0
8.0,1625.0,2.0,2,538.0,2,1573.0,1625.0,2,2.0,235000.0
6.0,1640.0,2.0,2,520.0,2,798.0,798.0,2,2.0,173000.0
6.0,1302.0,1.0,3,309.0,2,1302.0,1302.0,2,2.0,158000.0
5.0,1314.0,1.0,3,294.0,3,1314.0,1314.0,3,1.0,145000.0
7.0,2291.0,2.0,2,429.0,2,975.0,1005.0,2,2.0,230000.0
6.0,1728.0,2.0,2,673.0,2,864.0,864.0,2,2.0,207500.0
7.0,1604.0,2.0,2,660.0,2,1604.0,1604.0,2,2.0,220000.0
7.0,1792.0,2.0,2,564.0,2,963.0,963.0,2,2.0,231500.0
5.0,882.0,1.0,3,308.0,3,0.0,882.0,3,1.0,97000.0
6.0,1382.0,2.0,3,884.0,3,1362.0,1382.0,3,1.0,176000.0
8.0,2574.0,3.0,2,868.0,0,1482.0,1482.0,0,2.0,276000.0
6.0,1212.0,2.0,3,492.0,2,506.0,1212.0,3,1.0,151000.0
5.0,1316.0,2.0,3,484.0,3,926.0,926.0,3,1.0,130000.0
5.0,764.0,2.0,3,504.0,1,680.0,764.0,3,1.0,73000.0
6.0,1422.0,2.0,3,576.0,2,1422.0,1422.0,2,2.0,175500.0
6.0,1511.0,2.0,3,413.0,2,802.0,802.0,3,2.0,185000.0
5.0,2192.0,1.0,3,240.0,3,720.0,1052.0,2,2.0,179500.0
5.0,778.0,1.0,3,924.0,3,740.0,778.0,3,1.0,120500.0
6.0,1113.0,1.0,3,504.0,3,1143.0,1113.0,3,1.0,148000.0
8.0,1939.0,3.0,2,1053.0,2,1095.0,1095.0,2,2.0,266000.0
7.0,1363.0,2.0,3,439.0,2,1385.0,1363.0,3,1.0,241500.0
8.0,2270.0,3.0,2,671.0,2,1152.0,1164.0,2,2.0,290000.0
6.0,1632.0,1.0,3,338.0,3,1240.0,1632.0,3,2.0,139000.0
5.0,816.0,1.0,3,264.0,3,816.0,816.0,3,1.0,124500.0
7.0,1548.0,2.0,2,672.0,3,952.0,952.0,0,2.0,205000.0
7.0,1560.0,2.0,2,573.0,0,1560.0,1560.0,2,2.0,201000.0
4.0,864.0,2.0,3,400.0,3,864.0,864.0,3,1.0,141000.0
9.0,2121.0,3.0,0,732.0,0,2121.0,2121.0,0,2.0,415298.0
7.0,2022.0,2.0,3,505.0,2,1160.0,1156.0,3,2.0,192000.0
7.0,1982.0,2.0,2,575.0,2,807.0,1175.0,2,2.0,228500.0
6.0,1262.0,2.0,2,572.0,2,1262.0,1262.0,2,2.0,185000.0
7.0,1314.0,2.0,2,626.0,2,1314.0,1314.0,2,2.0,207500.0
8.0,1468.0,3.0,2,898.0,2,1468.0,1468.0,2,2.0,244600.0
6.0,1575.0,2.0,2,529.0,2,1575.0,1575.0,2,2.0,179200.0
7.0,1250.0,2.0,2,528.0,2,625.0,625.0,2,2.0,164700.0
6.0,1734.0,2.0,3,440.0,3,912.0,1085.0,2,1.0,159000.0
4.0,858.0,0.0,3,0.0,3,858.0,858.0,3,1.0,88000.0
5.0,900.0,1.0,3,280.0,3,882.0,900.0,3,1.0,122000.0
6.0,1396.0,1.0,3,384.0,3,698.0,698.0,3,1.0,153575.0
